"","0_2","1_4","3"
"A1_nonTLS",67,4,3
"A1_TLS",27,2,1
"A2_nonTLS",80,4,0
"A2_TLS",19,4,0
"A4_nonTLS",80,6,2
"A4_TLS",36,4,2
"B1_nonTLS",97,8,2
"B1_TLS",110,6,5
"B2_nonTLS",144,8,2
"B2_TLS",130,5,3
"B3_nonTLS",100,7,2
"B3_TLS",262,14,8
"B4_nonTLS",188,16,5
"B4_TLS",82,8,1
"B5_nonTLS",49,1,0
"B5_TLS",174,10,4
"D1_nonTLS",10,0,1
"D2_nonTLS",27,5,0
"E1_nonTLS",9,0,0
"E1_TLS",13,0,0
"E2_nonTLS",12,0,0
"E2_TLS",22,0,1
"E3_nonTLS",77,2,1
"E3_TLS",34,4,1
"E4_nonTLS",34,4,2
"E4_TLS",38,2,2
"F1_nonTLS",146,9,7
"F1_TLS",97,4,4
"F2_nonTLS",65,4,1
"F2_TLS",65,7,3
"F3_nonTLS",60,3,2
"F3_TLS",108,13,5
"F4_nonTLS",63,3,3
"F4_TLS",93,8,1
"G1_nonTLS",118,9,4
"G2_nonTLS",48,4,3
"KO1_nonTLS",523,24,19
"KO1_TLS",258,16,8
"KO10_nonTLS",292,19,6
"KO10_TLS",116,5,4
"KO11_nonTLS",237,18,7
"KO11_TLS",203,12,6
"KO12_nonTLS",213,18,5
"KO12_TLS",214,9,4
"KO2_nonTLS",360,28,10
"KO2_TLS",237,17,11
"KO3_nonTLS",304,25,9
"KO3_TLS",159,16,2
"KO4_nonTLS",473,26,18
"KO4_TLS",74,5,3
"KO5_nonTLS",314,22,7
"KO5_TLS",242,13,5
"KO6_nonTLS",238,15,9
"KO6_TLS",66,7,2
"KO7_nonTLS",204,23,7
"KO7_TLS",98,8,2
"KO8_nonTLS",116,4,1
"KO8_TLS",31,3,0
"KO9_nonTLS",605,35,12
"KO9_TLS",127,2,2
"WT1_nonTLS",66,8,1
"WT2_nonTLS",90,4,4
"WT3_nonTLS",306,25,8
